Nom	Type	Description	RA	DEC	Mag	GrandeurWidth	GrandeurHeight
M1	Rémanent de supernova	Nébuleuse du Crabe	5,58	22,01	8,4	0,13	0,07
M2	Amas d’étoiles globulaire	NGC 7089	21,56	0,82	6,6	0,27	0,27
M3	Amas d’étoiles globulaire	NGC 5272	13,7	28,38	6,3	0,3	0,3
M4	Amas d’étoiles globulaire	Amas globulaire du Crabe	16,39	-25,46	5,4	0,43	0,43
M5	Amas d’étoiles globulaire	Amas de la Rose – NGC 5904	15,31	2,08	5,7	0,38	0,38
M6	Amas d’étoiles ouvert	Amas du Papillon – NGC 6405	17,67	-31,8	4,2	0,42	0,42
M7	Amas d’étoiles ouvert	Amas de Ptolémé – NGC 6475	17,9	-33,21	3,3	1,33	1,33
M8	Région HII	Nébuleuse du Lagon	18,06	-23,02	6	1,5	0,67
M9	Amas d’étoiles globulaire	NGC 6333	17,32	-17,48	7,8	0,2	0,2
M10	Amas d’étoiles globulaire	NGC 6254	16,95	-3,9	6,6	0,33	0,33
M11	Amas d’étoiles ouvert	Amas du Canard Sauvage – NGC 6705	18,85	-5,73	5,8	0,23	0,23
M12	Amas d’étoiles globulaire	NGC 6218	16,79	-0,05	6,1	0,27	0,27
M13	Amas d’étoiles globulaire	Amas globulaire d’Hercules – NGC 6205	16,69	36,46	5,8	0,33	0,13
M14	Amas d’étoiles globulaire	NGC 6402	17,63	-2,75	7,6	0,18	0,18
M15	Amas d’étoiles globulaire	Amas de Pégase – NGC 7078	21,5	12,17	6,3	0,3	0,3
M16	Amas associé à une nébulosité	Nébuleuse de l’Aigle – NGC 6611	18,31	-12,19	6	2	0,42
M17	Amas associé à une nébulosité	Nébuleuse du Cygne (Nébuleuse Oméga) – NGC 6618	18,34	-15,82	6	0,67	0,5
M18	Amas d’étoiles ouvert	Amas du Cygne Noir – NGC 6613	18,33	-16,9	6,9	0,12	0,12
M19	Amas d’étoiles globulaire	NGC 6273	17,04	-25,73	6,8	0,28	0,28
M20	Amas associé à une nébulosité	Nébuleuse de Trifid – NGC 6514	18,04	-22,97	8,5	0,33	0,33
